District,Month,rainfall
Sambalpur,1,13.846153846153847
Nuapada,1,2.9699999999999998
Bargarh,1,7.872727272727272
Nowrangapur,1,1.9625000000000001
Nawapara,1,0.942857142857143
Bhadrak,1,11.563636363636364
Nabarangapur,1,5.277777777777778
Sonepur,1,9.13076923076923
Angul,1,15.353846153846153
Deogarh,1,11.415384615384614
Jajpur,1,15.96923076923077
Keonjhar,1,18.03846153846154
Kendrapara,1,10.176923076923078
Cuttack,1,14.246153846153845
Jagatsinghpur,1,7.507692307692306
Balasore,1,17.83076923076923
Dhenkanal,1,15.5
Jharsuguda,1,10.207692307692309
Koraput,1,5.261538461538461
Nayagarh,1,17.44615384615384
Boudh,1,3.7692307692307687
Gajapati,1,9.492307692307694
Kalahandi,1,7.438461538461538
Puri,1,10.584615384615386
Kandhamal,1,13.023076923076921
Malkangiri,1,1.5
Rayagada,1,7.576923076923077
Balangir,1,9.03076923076923
Ganjam,1,13.738461538461536
Mayurbhanj,1,15.392307692307694
Khurda,1,6.630769230769231
Sundargarh,1,8.176923076923078
Jalgaon,1,0.976923076923077
Jalna,1,2.3846153846153846
Nandurbar,1,0.6666666666666666
Buldhana,1,3.7384615384615385
Ratnagiri,1,0.46153846153846156
Wardha,1,6.076923076923077
Washim,1,3.6076923076923078
Sangli,1,0.6769230769230768
Bhandara,1,25.05384615384616
Hingoli,1,2.857142857142857
Palghar,1,0.0
Raigarh,1,0.0
Mumbai,1,0.0
Ahmednagar,1,0.04615384615384615
Chandrapur,1,7.3999999999999995
Kolhapur,1,0.06153846153846154
Yavatmal,1,5.200000000000001
Nashik,1,0.6923076923076923
Satara,1,0.0
Nanded,1,2.3846153846153846
Amravati,1,8.500000000000002
Dhule,1,1.15
Latur,1,1.8307692307692305
Osmanabad,1,2.230769230769231
Sholapur,1,1.646153846153846
Mumbai,1,0.06923076923076923
Parbhani,1,2.6153846153846154
Nagpur,1,7.153846153846152
Pune,1,0.13846153846153847
Sindhudurg,1,0.0
Aurangabad,1,3.0076923076923077
Gadchiroli,1,10.584615384615384
Beed,1,0.4
Gondia,1,9.976923076923075
Raigad,1,0.0
Thane,1,0.02727272727272727
Akola,1,8.461538461538462
Delhi Tanda,1,9.892307692307694
South Delhi,1,19.91111111111111
East Delhi,1,23.08888888888889
North East Delhi,1,15.133333333333333
New Delhi,1,20.54
South West Delhi,1,19.190000000000005
North West Delhi,1,15.13
Delhi,1,17.56
North Delhi,1,19.629999999999995
Vidisha,1,11.246153846153845
Narsinghpur,1,8.376923076923077
Sheopur,1,8.7
Sagar,1,12.692307692307692
Neemuch,1,1.0923076923076924
Khandwa,1,4.4
Chhatarpur,1,15.715384615384611
Guna,1,9.930769230769231
Gwalior,1,16.315384615384616
Chhindwara,1,16.73076923076923
Katni,1,15.092307692307692
Singrauli,1,16.48
Agar,1,3.3200000000000003
Anuppur,1,19.18
Alirajpur,1,1.3699999999999999
Burhanpur,1,5.3
Ashoknagar,1,11.399999999999999
Shivpuri,1,9.76153846153846
Damoh,1,18.676923076923078
Harda,1,3.9153846153846152
Panna,1,12.707692307692307
Satna,1,17.60769230769231
Balaghat,1,15.192307692307695
Khargone,1,2.4692307692307693
Dindori,1,18.1
Jhabua,1,2.1384615384615384
Rewa,1,22.130769230769236
Shajapur,1,8.96153846153846
Umaria,1,21.176923076923078
Betul,1,17.192307692307693
Datia,1,13.23846153846154
Hoshangabad,1,8.484615384615385
Mandla,1,14.553846153846154
Raisen,1,11.807692307692308
Sehore,1,8.100000000000001
Sidhi,1,22.830769230769228
Indore,1,6.392307692307692
Seoni,1,13.346153846153848
Tikamgarh,1,15.407692307692308
Dewas,1,10.96153846153846
Jabalpur,1,16.323076923076922
Mandsaur,1,3.976923076923077
Shahdol,1,17.676923076923078
Ujjain,1,5.746153846153846
Bhind,1,15.623076923076924
Dhar,1,1.4846153846153847
Bhopal,1,13.707692307692307
Morena,1,10.084615384615384
Ratlam,1,4.469230769230769
Rajgarh,1,6.769230769230769
Barwani,1,0.5307692307692308
Jalandhar,1,21.946153846153848
Nawanshahar,1,31.838461538461537
Tarn Taran,1,21.16
Sas Nagar,1,33.47
Mansa,1,9.280000000000001
Barnala,1,11.29
Faridkot,1,11.192307692307692
Kapurthala,1,31.000000000000004
Patiala,1,18.900000000000002
Firozpur,1,6.130769230769232
Ludhiana,1,19.13076923076923
Ropar,1,38.15384615384616
Moga,1,10.046153846153846
Sangrur,1,13.392307692307693
Amritsar,1,22.50769230769231
Gurdaspur,1,51.46923076923077
Muktasar,1,8.13076923076923
Hoshiarpur,1,29.346153846153847
Bathinda,1,11.96153846153846
Fatehgarh Sahib,1,17.9
Jaintia Hills,1,22.575
Garo Hills,1,7.4799999999999995
Garo Hills,1,4.828571428571428
Ri Bhoi,1,8.379999999999999
Khasi Hills,1,11.285714285714286
Khasi Hills,1,9.346153846153847
Garo Hills,1,4.869230769230769
Kozhikode,1,1.853846153846154
Wayanad,1,4.461538461538462
Malappuram,1,1.3384615384615384
Alappuzha,1,12.499999999999998
Kannur,1,3.069230769230769
Kasargod,1,2.7375
Ernakulam,1,7.653846153846152
Palakkad,1,0.23076923076923078
Kottayam,1,12.223076923076924
Idukki,1,8.86923076923077
Pathanamthitta,1,12.215384615384616
Kasaragod,1,1.2333333333333334
Kollam,1,10.353846153846153
Thiruvananthapuram,1,23.23846153846154
Thrissur,1,2.784615384615385
Hazaribagh,1,11.838461538461539
Singhbhum,1,8.884615384615385
Jamtara,1,9.6375
Khunti,1,4.857142857142857
Latehar,1,17.9375
Deogarh,1,4.933333333333333
Simdega,1,9.8
Garhwa,1,17.925
Dumka,1,5.566666666666666
Ramgarh,1,11.237499999999999
Kharsawa,1,6.585714285714286
Deoghar,1,4.95
Chatra,1,7.757142857142857
Bokaro,1,36.0
Lohardaga,1,108.0
Koderma,1,37.06666666666667
Gumla,1,65.05454545454546
Singhbhum,1,12.253846153846155
Palamu,1,12.015384615384615
Giridih,1,12.438461538461537
Ranchi,1,11.876923076923076
Godda,1,34.00909090909091
Sahibganj,1,94.04166666666667
Pargana,1,79.28
Dhanbad,1,11.66923076923077
Pakur,1,105.40909090909089
Bijapur,1,1.3
Chamarajanagar,1,0.7307692307692307
Gadag,1,0.5538461538461539
Mandya,1,0.9615384615384616
Mysore,1,1.323076923076923
Gulbarga,1,0.18
Bijapur,1,0.4
Belgaum,1,0.1375
Yadgiri,1,0.78
Ramanagara,1,0.66
Chikkaballapur,1,1.54
Haveri,1,1.876923076923077
Raichur,1,1.723076923076923
Bangalore Rural,1,2.553846153846154
Chikmagalur,1,1.0461538461538462
Hassan,1,2.0923076923076924
Dharwad,1,0.723076923076923
Kannada,1,1.1923076923076923
Bagalkot,1,1.0769230769230769
Gulbarga,1,1.3714285714285714
Belgaum,1,1.0666666666666667
Kannada,1,1.7153846153846155
Kodagu,1,5.761538461538462
Shimoga,1,1.6769230769230772
Tumkur,1,1.5384615384615385
Bellary,1,2.253846153846154
Davanagere,1,1.723076923076923
Kolar,1,2.5461538461538464
Udupi,1,1.5615384615384615
Bidar,1,1.3769230769230771
Koppal,1,1.146153846153846
Bangalore,1,1.5
Chitradurga,1,0.8538461538461539
Lakshadweep Sea,1,18.03076923076923
Rajkot,1,0.08461538461538462
Bharuch,1,0.1769230769230769
Kutch,1,0.6076923076923075
Botad,1,0.0
Morvi,1,0.0
Mahisagar,1,0.0
Dwarka,1,0.4600000000000001
Chhota Udaipur,1,0.0
Gir Somnath,1,0.0
Aravalli,1,0.0
Tapi,1,0.0
Narmada,1,0.33076923076923076
Surat,1,0.8153846153846154
Amreli,1,0.46153846153846156
Dang,1,0.038461538461538464
Anand,1,0.7076923076923076
Surendranagar,1,0.023076923076923075
Sabarkantha,1,2.0538461538461537
Ahmedabad,1,0.2846153846153846
Dahod,1,1.5538461538461539
Mehsana,1,0.5461538461538461
Bhavnagar,1,0.18461538461538465
Kheda,1,1.9538461538461538
Porbandar,1,0.007692307692307693
Gandhi Nagar,1,1.276923076923077
Navasari,1,0.038461538461538464
Banaskantha,1,0.48461538461538467
Jamnagar,1,0.24615384615384617
Panchmahals,1,0.43846153846153846
Valsad,1,0.0923076923076923
Vadodara,1,1.4384615384615385
Junagarh,1,0.3076923076923077
Patan,1,0.1769230769230769
Faridabad,1,12.100000000000001
Karnal,1,23.6
Sirsa,1,5.800000000000001
Palwal,1,10.48
Mewat,1,10.75
Gurgaon,1,10.869230769230768
Mahendragarh,1,4.846153846153846
Yamunanagar,1,30.307692307692314
Hisar,1,7.546153846153846
Fatehabad,1,5.553846153846154
Kurukshetra,1,14.846153846153848
Sonipat,1,11.161538461538463
Kaithal,1,28.71538461538461
Rohtak,1,5.323076923076924
Bhiwani,1,5.761538461538462
Jhajjar,1,15.692307692307695
Panipat,1,14.484615384615385
Rewari,1,20.015384615384615
Ambala,1,28.25384615384616
Jind,1,10.815384615384614
Panchkula,1,21.76923076923077
Vaishali,1,6.76923076923077
Begusarai,1,20.099999999999998
Gaya,1,17.5
Madhepura,1,16.15833333333333
Sheikhpura,1,5.0600000000000005
Lakhisarai,1,5.6
Nawada,1,7.44
Banka,1,9.5
Aurangabad,1,29.84166666666667
Arwal,1,7.966666666666665
Sheohar,1,4.79
Munger,1,29.523076923076925
Samastipur,1,7.576923076923078
Bhagalpur,1,10.976923076923075
Jahanabad,1,20.015384615384615
Bhojpur,1,22.275000000000002
Muzaffarpur,1,6.046153846153847
Kaimur (Bhabua),1,23.390909090909087
Gopalganj,1,36.50000000000001
Madhubani,1,14.975000000000001
Rohtas,1,11.576923076923077
Champaran,1,38.91538461538461
Saharsa,1,16.653846153846153
Supaul,1,4.907692307692307
Purnia,1,5.299999999999999
Kishanganj,1,57.10833333333333
Buxar,1,37.90833333333334
Nalanda,1,15.375
Saran,1,13.992307692307692
Katihar,1,18.161538461538463
Sitamarhi,1,34.61538461538461
Darbhanga,1,22.78333333333333
Khagaria,1,34.85384615384615
Patna,1,8.623076923076923
Siwan,1,30.258333333333336
Araria,1,19.37692307692308
Champaran,1,7.584615384615385
Jamui,1,20.083333333333332
Lahaul Spiti (separate values),1,56.36153846153846
Bilaspur,1,58.92307692307692
Hamirpur,1,57.03846153846152
Shimla,1,63.23846153846153
Mandi,1,62.861538461538466
Kangra,1,66.45384615384614
Solan,1,66.08461538461539
Kinnaur,1,85.55384615384615
Una,1,46.6076923076923
Kullu,1,106.43076923076923
Chamba,1,82.33076923076922
Sirmaur,1,52.15384615384615
Dhamtari,1,9.507692307692308
Kawardha,1,6.422222222222222
Mahasamund,1,5.8538461538461535
Bijapur,1,14.679999999999998
Gariaband,1,3.4799999999999995
Surajpur,1,20.580000000000002
Balod,1,10.86
Kondagaon,1,7.56
Sukma,1,0.72
Bemetara,1,19.72
Mungeli,1,18.44
Balodabazar,1,12.919999999999998
Kabirdham-Kawardha,1,12.962499999999999
Narayanpur,1,9.85
Jashpur,1,16.946153846153848
Raipur,1,10.484615384615385
Durg,1,8.215384615384615
Raigarh,1,7.846153846153846
Janjgir-Champa,1,11.030769230769229
Korea,1,9.807692307692308
Bastar,1,6.723076923076922
Kanker,1,8.976923076923075
Rajnandgaon,1,9.8
Surguja,1,12.392307692307693
Bilaspur,1,19.053846153846152
Korba,1,13.23076923076923
Dantewada,1,3.375
kameng,1,9.769230769230768
Lohit,1,26.184615384615384
Lower Dibang Valley,1,31.799999999999997
Anjaw,1,32.74285714285714
Kurung Kumey,1,26.55
Tawang,1,7.815384615384615
